,상품제목,가격,할인율,리뷰평점,리뷰개수,썸네일
18,[2만장판매🔥/delight made] 데일리 싱글 자켓/결혼식/하객룩/정장자켓/면접자켓/빅사이즈 하객룩/가을 자켓/가을하객룩/올드머니룩/빅사이즈 자켓/오버핏블레이저,"47,310원",5%,4.6,1307,https://cf.product-image.s.zigzag.kr/original/d/2023/3/26/5330_202303262132470150_49172.gif?width=400&height=400&quality=80&format=jpeg
19,[1만9천장 돌파][Made Lauren]오브 싱글 미디 반팔 자켓 - 6 color,"50,300원",8%,4.7,1264,https://cf.product-image.s.zigzag.kr/original/c/10/063/559/100635596-8040025144899890619.gif?width=400&height=400&quality=80&format=jpeg
20,[MADE] 모드 오버핏싱글자켓[44~110],"43,800원",할인 정보 없음,4.6,1160,https://cf.product-image.s.zigzag.kr/original/c/10/038/364/100383642-1186948552759402269.gif?width=400&height=400&quality=80&format=jpeg
21,인생자켓💕 주문폭주✨ (unusually) three jacket (4color) 자켓/블레이저/베이직자켓/오버핏/아우터/고퀄리티/핏예쁜자켓/세일/당일배송/오늘출발/당배,"59,000원",할인 정보 없음,4.5,1128,https://cf.product-image.s.zigzag.kr/original/d/2022/9/6/4598_202209061501390313_83255.gif?width=400&height=400&quality=80&format=jpeg
22,[1만장 돌파🔥/자체제작❤️] made.마리에 스탠다드 메리노울 자켓(2color) (스커트set가능),"121,600원",5%,5,1099,https://cf.product-image.s.zigzag.kr/original/d/2023/10/11/10610_202310111707140503_35154.gif?width=400&height=400&quality=80&format=jpeg
23,[7천장판매] [MADE] 롤리 SET - 크롭자켓,"57,600원",10%,4.8,1089,https://cf.product-image.s.zigzag.kr/original/c/10/043/727/100437270-6185209537606209307.gif?width=400&height=400&quality=80&format=jpeg
24,"[라스트특가][당일출고] 누적판매7천장💛[made by]  쿨링 썸머 자켓 (*5color) (s,m)","18,000원",70%,4.6,1081,https://cf.product-image.s.zigzag.kr/original/c/10/620/984/106209844-6922131788998824662.gif?width=400&height=400&quality=80&format=jpeg
25,"당일발송│[4colors]어깨뽕없는, 싱글 크롭 자켓","15,900원",할인 정보 없음,4.6,1080,https://cf.product-image.s.zigzag.kr/original/c/10/631/103/106311034-1622017154809.gif?width=400&height=400&quality=80&format=jpeg
26,[98project/8천장돌파] 로너 블루종 투웨이 자켓 - 3 color,"69,500원",10%,4.7,1022,https://cf.product-image.s.zigzag.kr/original/c/11/048/504/110485049-6664005455635805621.gif?width=400&height=400&quality=80&format=jpeg
27,테일러드 크롭 반팔 자켓 MIWJKD52PG,"33,910원",51%,4.8,990,https://cf.product-image.s.zigzag.kr/original/d/2023/9/27/11864_202309271419020975_28612.jpeg?width=400&height=400&quality=80&format=webp
28,무드 울 숏 자켓,"68,400원",10%,4.7,972,https://cf.product-image.s.zigzag.kr/original/c/10/036/113/100361138-291959920280426121.gif?width=400&height=400&quality=80&format=jpeg
29,🖤블프데이🖤[가을🍂2만2천장 돌파][Made Lauren]와플 싱글 미디 자켓,"48,500원",13%,4.7,966,https://cf.product-image.s.zigzag.kr/original/c/10/048/290/100482905-7392565411079992045.gif?width=400&height=400&quality=80&format=jpeg
